food_code,food_name,scientific_name,local_name,food_group,no._of_regions,tags,energy_kcal,moisture,total_fat,dietary_fiber,carbohydrate,protein,essential_amino_acids,saturated_fatty_acids,unsaturated_fatty_acids,essential_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,free_sugars,aluminium_(al),calcium_(ca),chromium_(cr),iron_(fe),magnesium_(mg),phosphorus_(p),potassium_(k),sodium_(na),zinc_(zn)
A001,"Amaranth seed, black",Amaranthus cruentus,A. Moricha guti; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag manji Dhala; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,356.11,9.89,5.74,7.02,59.98,14.59,13.842992,1.28,3.312,2.27991,1.033,2.279,0.88,0.0,0.181,0.001227,0.00933,0.325,0.374,0.433,0.0027,0.00266
A002,"Amaranth seed, pale brown",Amaranthus cruentus,A. Moricha guti; G. Rajagaro; H. Ramdana; Kan. Danthu beeja; Kash. Mawal; Mal. Cheera vithu; M. Chengkruk Maru; Mar. Cavali biya; O. Kosala sag maji kale; P. Chaulali beej; Tam. Keerai vidai; Tel. Thotakoora ginjalu.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,355.871,9.2,5.56,7.47,61.46,13.27,12.748489,1.14,3.309,2.26603,1.043,2.266,0.8,0.00047,0.162,9.2e-05,0.00802,0.27,0.412,0.413,0.00281,0.00252
A003,Bajra,Pennisetum typhoideum,"A., Kash. Baajra; B. Bajra; E. Pearl millet; G. Bajri; H. Bajra; Kan. Sajje; Kh. Krai; Mal. Kambam; Mar. Bajra; N. Bajara; O. Bajra; P. Bajra; Tam. Kambu; Tel. Sajjalu; U. Bajra.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,347.984,8.97,5.43,11.49,61.78,10.96,9.697408,0.875,3.031,1.984,1.047,1.984,0.81,0.00078,0.02735,2.5e-05,0.00642,0.124,0.289,0.365,0.00411,0.00276
A004,Barley,Hordeum vulgare,A. Barli; B. Barley; G. Jav; H. Jau; Kan. Barley; Kash. Wushke; Kh. Krai; Mal. Barley; Mar. Sath; N. Jau; O. Jaba; P. Jao; S. Yava; Tam. Baarli Arisi; Tel. Barley; U. Jau.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,315.719,9.77,1.3,15.64,61.29,10.94,10.71573,0.232,0.66579,0.57532,0.09079,0.575,0.06,0.0,0.02864,2.9e-05,0.00156,0.04897,0.178,0.268,0.00756,0.0015
A005,Jowar,Sorghum vulgare,A. Jowar; B. Jowar; E. Sorghum; G. Jowar; H. Jowar; Kan. Jolada; Kash. Pingu; Kh. Krai; Mal. irunku; Mar. Jondhahlaa; O. Janha; P. Javara; Tam. Cholam; Tel. Jonna; U. Jowar.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,334.122,9.01,1.73,10.22,67.68,9.97,9.523344,0.163,0.838,0.52454,0.314,0.524,1.27,0.00059,0.0276,1e-05,0.00395,0.133,0.274,0.328,0.00542,0.00196
A006,"Maize, dry",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Symbai riewhadem stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Sukha makai; O. Maka; P. Chhali; S. Yaavanaala; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,334.122,9.26,3.77,12.24,64.77,8.8,8.49728,0.413,2.312,1.60576,0.706,1.606,1.66,0.00016,0.00891,1e-05,0.00249,0.145,0.279,0.291,0.00444,0.00227
A007,"Maize, tender, local",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem Stem; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. Makai.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,119.978,68.29,1.4,3.67,22.69,3.57,3.411849,0.109,0.494,0.34746,0.147,0.347,1.47,5e-05,0.00635,4e-06,0.00071,0.04762,0.163,0.167,0.00224,0.00097
A008,"Maize, tender, sweet",Zea mays,A. Makoi; B. Bhutta; E. Corn; G. Lili makai; H. Makka; Kan. Mekke jola; Kash. Makai; Kh. Riewhadem lieh; Mal. Maize; M. Chujaak; Mar. Maka; N. Makai; O. Maka; P. Chhali; Tam. Makka Cholam; Tel. Mokkajonna; U. makai.,Cereals and Millets,4,vegetarian eggetarian fishetarian veg,96.795,74.4,1.35,3.3,16.42,4.16,3.85008,0.123,0.476,0.29965,0.176,0.3,4.67,2e-05,0.00637,2e-06,0.00054,0.03651,0.121,0.297,0.00223,0.00077
A009,Quinoa,Chenopodium quinoa,,Cereals and Millets,1,vegetarian eggetarian fishetarian veg,328.386,10.43,5.5,14.66,53.65,13.11,11.401767,0.57,3.83,2.407,1.424,2.406,1.41,0.0,0.198,4e-06,0.00751,0.119,0.212,0.474,0.0045,0.00331
A010,Ragi,Eleusine coracana,A. Ragi; B. Ragi; E. Finger millet; G. Bavato; H. Ragi; Kan. Bhakri; Kh. Ukrai; Mal. Panjapulle; Mar. Bhakri; N. Kodo; O. Mandia; P.  Mandal; S. Madhulika; Tam. Kelvaragu; Tel. Ragi; U. Mandwa.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,320.738,10.89,1.92,11.18,66.82,7.16,6.653788,0.317,1.016,0.43058,0.585,0.431,0.34,0.00069,0.364,3.2e-05,0.00462,0.146,0.21,0.443,0.00475,0.00253
A011,Rice flakes,Oryza sativa,"A. Chira, Chiura; B. Chide, Chira; E. Flattened rice, Beaten rice; G. Paunva; H. Poha; Kan. Avalakki; Kash. Chevri; Kh. Shira; Mal. Aval; M. Chengpaak; Mar. Pohe; O. Chudaa, Chuda; P. Chirwre; Tam. Aval; Tel. Atukulu, Attukulu.",Cereals and Millets,6,vegetarian eggetarian fishetarian veg,353.72,10.36,1.14,3.46,76.75,7.44,7.078416,0.284,1.002,0.57737,0.425,0.577,0.34,0.0006,0.00919,5e-05,0.00446,0.07792,0.195,0.148,0.00258,0.00149
A012,Rice puffed,Oryza sativa,A. Muri; B. Muri; G. Mamra; H. Muramure; Kan. Kalle Puri; Kash. Tomul; Kh. Muri; Mal. Pori; M. Kabok Mur; Mar. Chirmure; N. Murai; O. Mudhi; P. Phulian; Tam. Pori; Tel. Maramaralu; U. Murmure.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,361.846,9.4,1.62,2.56,77.68,7.47,6.844014,0.04684,0.08457,0.04481,0.03977,0.0448,0.64,0.00061,0.01509,2.8e-05,0.00455,0.06459,0.152,0.14,0.00369,0.00145
A013,"Rice, raw, brown",Oryza sativa,A. Matia rangar chaul; E. Whole grain rice; G. Kathai chokha; H. Chawal; P. Bhura choul; Kash. Tomul; Kh. Khaw saw; Mal. Kuthari ; M. Cheng; Tam. Arisi; Tel. Dampudu biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,353.72,9.33,1.24,4.43,74.8,9.16,9.050996,0.346,0.709,0.5061,0.203,0.506,0.69,0.00018,0.01093,5e-06,0.00102,0.09391,0.267,0.199,0.00364,0.00168
A014,"Rice, parboiled, milled",Oryza sativa,A. Ukhua chaul; B. Siddha chowl; E. Converted rice; G. Bafela Chokha; H. Usna chawal; Kan. Kusubalakki; Kash. Tomul; Kh. Khaw boil; Mal. Puzhungal ari; M. Cheng; Mar. Ukadla tandool; O. Usuna chaula; P. Biga hua chawal; Tam. Puzhungal arisi; Tel. Uppudu biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,351.569,10.09,0.55,3.74,77.16,7.81,7.571795,0.15,0.30266,0.21618,0.08666,0.216,0.67,6e-05,0.00811,5e-06,0.00072,0.02672,0.14,0.142,0.00316,0.00108
A015,"Rice, raw, milled",Oryza sativa,A. Milat khunda chaul; B. Chowl; G. Choka; H. Chawal; Kan. Akki; Kash. Tomul; Kh. Khaw boil; M. Cheng; Mar. Tondool; O. Chaula; P. Chaul; Tam. Arisi; Tel. Biyyam.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,356.349,9.93,0.52,2.81,78.24,7.94,7.751028,0.184,0.37,0.24351,0.117,0.253,0.69,0.0003,0.00749,5e-06,0.00065,0.0193,0.096,0.108,0.00234,0.00121
A016,Samai,Panicum miliare,B. Sama; E. Little millet; G. Kuri; H. Shavan; Kan. Sama; Kash. Ganuhaar; Mal. Chama; Mar. Sava; O. Suan; P. Swank; Tam. Samai; Tel. Sama.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,346.311,11.36,3.89,7.72,65.55,10.13,9.813944,0.589,2.145,1.2772,0.868,1.277,0.37,0.0,0.01606,1.6e-05,0.00126,0.09141,0.13,0.105,0.00477,0.00182
A017,Varagu,Setaria italica,A. Konidhan; B. Syama dhan; E. Kodo millet; G. Ral gana; Kan. Priyangu thene; Kash. Snol; Mal. Thina; Mar. Rala; P. Kangni; Tam. Thinai; Tel. Karralu.,Cereals and Millets,5,vegetarian eggetarian fishetarian veg,331.732,14.23,2.55,6.39,66.19,8.92,8.876292,0.246,0.894,0.59702,0.297,0.597,1.29,0.00083,0.01527,2.1e-05,0.00234,0.122,0.101,0.094,0.00335,0.00165
A018,"Wheat flour, refined",Triticum aestivum,A. Moida; B. Maida; G. Maido; H. Maida; Kan. Maida; Kash. Oat; Kh. Moida; Mal. Maida mavu; M. Moida; Mar. Maida; N. Maida; O. Maida; P. Maida; Tam. Maida mavu; Tel. Maida pindi; U. Maida.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,351.808,11.34,0.76,2.76,74.27,10.36,9.454536,0.09855,0.39364,0.34245,0.05064,0.343,1.79,0.00033,0.0204,5e-06,0.00177,0.03069,0.11,0.148,0.00154,0.00088
A019,"Wheat flour, atta",Triticum aestivum,B. Ata; G. Samagra gha; H. Atta; Kan. Sampurna godhi hittu; Kash. Oat unno lota ghaun no lot; Mal. Godhambu mavu; Mar. Kaneek; O. Gahama atta; P. Atta; Tam. Mulu Godumai maavu; Tel. Sampurna godhuma pindi.,Cereals and Millets,6,vegetarian eggetarian fishetarian veg,320.26,11.1,1.53,11.36,64.17,10.57,10.224361,0.206,0.891,0.74193,0.149,0.742,1.8,0.00053,0.03094,6e-06,0.0041,0.125,0.315,0.311,0.00204,0.00285
