Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code,Glycemic Load,Glycemic Index,,diebetes_restriction
Almond Milk Homemade,1 Large Glass (220 ml),282,6.3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,5,35,,0
Almond Milk Homemade,1 Medium Glass (176 ml),226,5.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,4,30,,0
Apple Date Milkshake With Honey,1 Medium Glass (160 ml),168,4.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,6,50,,3
Banana Smoothie With Sugar,1 Large Bowl (160 gm),157,3.8,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,7,55,,3
Brown Wheat Bread Bell Pepper Paneer Sandwich,"1 Bread (5.5"") (214 gm)",545,22.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,15,70,,0
Cardamom Tea Without Sugar,1 Medium Cup (150 ml),41,1.8,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,1,20,,0
Cinnamon Ginger Tea With Honey,1 Large Cup (200 ml),57,0.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,3,40,,3
Coffee Cows Milk With Stevia,1 Medium Cup (150 ml),85,3.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,2,25,,0
Coffee Skim Milk With Stevia,1 Medium Cup (150 ml),56,4.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,3,30,,0
Coffee With Cow Milk Without Sugar,1 Medium Cup (132 ml),69,3.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Jaggery,1 Large Glass (220 ml),128,3.9,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,3
Coffee With Skim Milk Without Sugar,1 Large Cup (176 ml),47,4.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Skim Milk Without Sugar,1 Large Cup (176 ml),48,4.5,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Stevia,1 Large Cup (176 ml),91,3.9,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Stevia,1 Medium Cup (132 ml),68,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee With Stevia,1 Medium Cup (132 ml),68.36,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee Without Sugar,1 Large Cup (176 ml),92,0.3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Coffee,1 Large Cup (176 ml),109,0.4,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Coffee,1 Medium Cup (132 ml),81,0.3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,1
Cow Milk Ginger Tea With Stevia,1 Medium Cup (150 ml),41,2.2,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk Ginger Tea Without Sugar,1 Large Cup (200 ml),54,2.8,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
Cow Milk Masala Tea Without Sugar,1 Large Cup (200 ml),50,2.8,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A,,,,0
