retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,UK-13-146,G509,"Agar, dried",ukfct,67,16,Tr,1.3,1.2,Tr,, 300.00, 100.00, 400.00,0.0,760,50,620,110,110,20.60,N,N,NA,4.30,NA,14.4,0,Tr,NA,NA,,NA,0,0.01,0.22,0.2,Tr,Tr,Tr,0,0,0
151,UK-14-001,E507,Amla,ukfct,243,58,13.7,0.5,0.1,N,,Tr,Tr,Tr,0.0,50,20,N,5,230,1.20,0.18,N,NA,N,NA,N,0,N,NA,NA,,NA,N,0.03,0.01,0.2,N,N,N,N,N,9
,UK-14-331,V500,"Apple juice, clear, ambient and chilled",ukfct,157,37,9.7,0.1,Tr,9.7,Tr,Tr,Tr,Tr,0.0,6,6,4,3,89,0.06,0.01,Tr,NA,0.03,NA,Tr,0,Tr,NA,NA,,NA,1,0.05,0.02,0.2,0.05,0.05,0.9,1,26,Tr
1456,UK-19-497,O500,"Bacon rashers, back, raw",ukfct,891,215,0.0,16.5,16.5,0.0,0.0,6200.00,6900.00,2200.00,53.0,5,150,17,1140,300,0.40,0.06,8,NA,0.01,NA,1.2,Tr,0.02,NA,NA,,NA,3,0.63,0.11,5.6,1.00,0.46,2.0,3,1,Tr
,UK-17-355,K500,Baking powder,ukfct,693,163,37.8,5.2,0.0,0.0,0.0,   0.00,   0.00,   0.00,0.0,1130,8430,9,11800,49,Tr,Tr,Tr,NA,Tr,NA,2.8,0,Tr,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,0
151,UK-14-347,E503,"Bananas, raw, flesh only, weighed with skin",ukfct,217,51,12.8,0.8,Tr,11.4,0.9,  30.00,Tr,  30.00,0.0,4,14,17,Tr,208,0.17,0.06,Tr,NA,0.23,NA,0.1,0,0.10,NA,NA,0.04,NA,9,0.09,0.03,0.5,0.22,0.20,1.6,9,5,16
,UK-13-805,G511,"Basil, dried, ground",ukfct,1051,251,43.2,14.4,4.0,N,,N,N,N,0.0,2110,490,420,34,3430,42.00,1.37,N,NA,3.20,NA,5.8,0,N,NA,NA,,NA,0,0.15,0.32,6.9,N,N,N,0,0,5630
,UK-13-806,G512,"Bay leaf, dried",ukfct,1312,313,48.6,7.6,8.4,N,,2300.00,1600.00,2300.00,0.0,830,110,120,23,530,43.00,0.42,N,NA,8.20,NA,3.7,0,N,NA,NA,,NA,0,0.01,0.42,2.0,N,N,N,0,0,3710
3776,UK-13-064,D508,"Beans, broad, whole, raw",ukfct,247,59,7.2,5.7,1.0,1.3,, 100.00, 100.00, 500.00,0.0,23,130,24,1,310,0.90,0.11,N,NA,0.20,NA,0.9,0,0.46,NA,NA,,NA,145,0.04,0.04,3.2,4.94,0.06,2.7,145,32,170
504,UK-13-074,B500,"Beans, chick peas, Kabuli, whole, dried, raw",ukfct,1355,320,49.6,21.3,5.4,2.6,, 500.00,1100.00,2700.00,0.0,160,310,130,39,1000,5.50,0.95,2,NA,2.40,NA,3.0,0,2.88,NA,NA,8.92,NA,180,0.39,0.24,1.9,1.59,0.53,N,180,Tr,60
504,UK-13-580,B501,"Beansprouts, mung, boiled in unsalted water",ukfct,104,25,2.8,2.5,0.5,1.4,, 100.00, 100.00, 200.00,0.0,19,37,14,4,46,2.20,0.01,N,NA,0.10,NA,0.3,0,N,NA,NA,,NA,17,0.09,0.05,0.3,0.24,0.07,N,17,2,46
,UK-17-356,K501,Bicarbonate of soda,ukfct,0,0,0.0,0.0,0.0,0.0,,   0.00,   0.00,   0.00,0.0,0,0,0,27380,0,0.00,0.00,0,NA,0.00,NA,0.0,0,0.00,NA,NA,,NA,0,0.00,0.00,0.0,0.00,0.00,0.0,0,0,0
,UK-11-799,U500,"Biscuits, digestive, plain",ukfct,1943,463,65.6,6.2,21.3,17.5,3.8,7710.00,10190.00,2280.00,2.4,95,119,31,561,215,1.80,0.21,4,NA,0.91,NA,0.9,0,5.32,NA,NA,1.51,NA,11,0.12,0.02,1.9,0.48,0.07,3.5,11,0,0
151,UK-14-325,E500,Blueberries,ukfct,169,40,9.1,0.9,0.2,9.1,1.5,  20.00,  40.00, 110.00,0.0,10,16,5,2,66,0.55,0.06,Tr,NA,0.69,NA,0.1,0,0.94,NA,NA,,NA,8,0.04,0.04,0.3,0.20,0.01,1.5,8,6,14
301,UK-11-971,U501,"Bread, brown, average",ukfct,882,207,42.1,7.9,2.0,3.4,5.0, 430.00, 430.00, 650.00,0.0,186,157,45,400,216,2.20,0.17,4,NA,1.14,NA,1.3,0,0.01,NA,NA,,NA,45,0.22,0.07,2.8,0.46,0.17,3.0,45,0,0
301,UK-11-1136,U502,"Bread, brown, toasted",ukfct,1131,266,54.0,10.1,2.6,4.4,6.4, 550.00, 550.00, 830.00,0.0,238,201,58,513,277,2.82,0.22,5,NA,1.46,NA,1.7,0,0.01,NA,NA,,NA,29,0.24,0.08,3.4,0.44,0.16,3.8,29,0,0
301,UK-11-1145,U511,"Bread, white, average",ukfct,1004,236,48.7,8.7,2.1,3.0,2.9,N,N,N,0.0,155,96,22,400,134,1.50,0.14,7,NA,0.49,NA,0.7,0,0.08,NA,NA,,NA,29,0.22,0.07,1.6,N,0.07,N,29,0,0
352,UK-11-938,A501,"Breakfast cereal, crunchy clusters type, without nuts, unfortified",ukfct,1687,399,71.0,7.2,11.6,25.3,7.2,4150.00,4470.00,2330.00,N,40,232,72,41,310,2.68,0.30,6,NA,2.11,NA,1.6,0,1.38,NA,NA,,NA,90,1.02,1.06,4.0,0.32,0.17,8.9,90,Tr,Tr
3006,UK-13-502,C500,"Broccoli, green, raw",ukfct,146,34,3.2,4.3,0.6,1.9,4.0, 150.00,  70.00, 250.00,0.0,48,81,22,9,397,1.06,0.08,1,NA,0.28,NA,0.7,0,1.72,NA,NA,185.00,NA,95,0.15,0.12,0.8,0.61,0.13,4.1,95,79,581
,UK-11-006,A514,"Buckwheat, groats",ukfct,1522,364,84.9,8.1,1.5,0.4,,,,,,12,150,48,1,220,2.00,0.70,9,NA,1.60,NA,2.6,,Tr,NA,NA,,NA,N,0.28,0.07,2.8,1.20,0.40,N,N,0,
,UK-17-685,T500,"Butter, salted",ukfct,3059,744,0.6,0.6,82.2,0.6,0.0,52090.00,20910.00,2830.00,213.2,18,23,2,730,27,Tr,0.01,Tr,NA,Tr,NA,0.1,958,1.85,NA,NA,7.40,NA,Tr,Tr,0.07,Tr,0.05,Tr,0.2,Tr,Tr,608
,UK-17-661,T501,"Butter, unsalted",ukfct,3059,744,0.6,0.6,82.2,0.6,0.0,52090.00,20910.00,2830.00,213.0,18,23,2,8,27,Tr,0.01,Tr,NA,Tr,NA,0.1,958,1.85,NA,NA,7.40,NA,Tr,Tr,0.07,Tr,0.05,Tr,0.2,Tr,Tr,608
1,UK-12-346,L500,"Cheese, Cheddar, English",ukfct,1725,416,0.1,25.4,34.9,0.1,0.0,21680.00,9430.00,1100.00,97.0,739,505,29,723,75,0.30,0.03,6,NA,0.03,NA,4.1,364,0.52,NA,NA,4.70,NA,31,0.03,0.39,0.1,0.50,0.15,4.4,31,Tr,141
1,UK-12-539,L502,"Cheese, cottage, plain",ukfct,431,103,3.1,9.4,6.0,3.1,0.0,3240.00,1720.00, 210.00,22.0,127,171,13,250,161,Tr,Tr,4,NA,Tr,NA,0.6,64,0.14,NA,NA,,NA,22,0.05,0.24,0.2,0.30,0.05,5.1,22,Tr,18
1,UK-12-525,L506,"Cheese, Feta",ukfct,1037,250,1.5,15.6,20.2,1.5,0.0,13700.00,4100.00, 600.00,70.0,360,280,20,1000,95,0.20,0.07,5,NA,Tr,NA,0.9,220,0.37,NA,NA,,NA,23,0.04,0.21,0.2,0.36,0.07,2.4,23,Tr,33
1,UK-12-360,L503,"Cheese, Mozzarella, fresh",ukfct,1067,257,Tr,18.6,20.3,Tr,0.0,13750.00,5040.00, 760.00,58.0,362,267,15,395,51,Tr,Tr,6,NA,0.02,NA,2.7,258,0.31,NA,NA,,NA,20,0.03,0.40,0.1,0.25,0.10,2.2,20,Tr,152
1,UK-12-527,L505,"Cheese, processed, plain",ukfct,1234,297,5.0,17.8,23.0,5.0,0.0,14320.00,6340.00, 830.00,85.0,610,768,27,1000,178,0.50,Tr,5,NA,0.04,NA,2.6,270,0.55,NA,NA,1.60,NA,15,0.06,0.25,0.1,0.60,0.07,5.6,15,Tr,95
1,UK-12-176,L511,"Cheese, Ricotta",ukfct,599,144,2.0,9.4,11.0,2.0,,6900.00,2700.00, 500.00,50.0,240,170,13,100,110,0.40,N,N,NA,Tr,NA,1.3,185,0.03,NA,NA,,NA,N,0.02,0.19,0.1,N,0.03,N,N,Tr,92
151,UK-14-335,E511,"Cherries, glace",ukfct,1256,294,78.1,0.4,Tr,N,N,Tr,Tr,Tr,0.0,56,9,5,27,24,0.90,0.08,Tr,NA,Tr,NA,0.1,0,Tr,NA,NA,,NA,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,7
151,UK-14-069,E504,"Cherries, West Indian, flesh only",ukfct,102,24,5.0,0.4,0.4,5.0,,N,N,N,0.0,11,15,18,5,110,0.20,N,N,NA,N,NA,N,0,N,NA,NA,,NA,N,0.02,0.07,0.4,0.31,0.01,N,N,1720,315
856,UK-18-304,N500,"Chicken, whole, corn-fed, raw, meat and skin, weighed with bone",ukfct,589,142,0.0,12.2,10.3,0.0,,3000.00,4500.00,2100.00,64.0,5,120,14,50,180,0.30,0.04,8,NA,0.01,NA,0.7,36,0.08,NA,NA,,NA,4,0.04,0.08,4.9,0.71,0.30,1.0,4,0,Tr
,UK-13-873,G516,Chilli powder,ukfct,N,N,N,13.5,14.3,7.2,34.8,2460.00,3210.00,8010.00,0.0,330,300,149,4000,1950,17.30,1.00,N,NA,1.70,NA,4.3,0,N,NA,NA,105.70,NA,28,0.25,0.94,11.6,0.89,2.10,N,28,1,17790
,UK-17-719,G517,Chilli sauce,ukfct,169,40,7.3,1.3,0.8,6.9,2.2,Tr,Tr,Tr,0.0,17,28,15,1250,140,2.80,0.07,Tr,NA,0.17,NA,0.1,0,1.97,NA,NA,,NA,10,0.01,0.09,0.6,0.22,0.10,1.0,10,8,570
