Name,Quantities,Kcal,Protein Content (g),Veg/Non_Veg,subcode,Sub_Type,Type,Code
AJWAIN WATER (ajvena vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN+SAUNF WATER (ajavaina+saunapha vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ALKALINE WATER (kSArIya jala),250ML,10.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AMLA WATER (amalA vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
APPLE CIDER  VINIGER (seba kA sirakA),300ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER (bArlI vaॉTara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BARLEY WATER (bArlI vaॉTara),300ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK COFFEE  (blaika kaॉfI),250ML,0.0,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK MASALA TEA  (kAlI masAlA cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BLACK TEA (kAlI cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
BUTTERMILK (chAcha),300ML,122.0,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CHIA SEED WATER (ciyA sIDa vATara),300ML,25.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CLOVE+LEMON WATER (lauMga+nIMbU kA pAnI),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
COFFEE WITH SKIM MILK AND WITHOUT SUGAR (skima dUdha ke sAtha aura cInI ke binA kaॉphI),100ML,36.0,3.4,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
CURD (dahI),100ML,98.0,11,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI WATER (DalacInI vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DALCHINI+GINGER WATER (dalacinI+adaraka kA pAnI),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
DETOX WATER (DiTaॉksa vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
ELAICHI WATER (ilicI vATara),300ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FENUGREEK+ SAUNF WATER (methI+ saunapha vATara),250ML,0.0,20,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
FLEXSEED WATER (phleksiseDa vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA (adaraka kI cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GINGER TEA WITHOUT SUGAR (cInI ke binA adaraka kI cAya),100ML,2.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
GREEN TEA (harI cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
HERBAL TEA (harbala cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
JEENA WATER (jInA vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMON TEA (nIbU cAya),200ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
LEMONGRASS WATER (lemoMgrAsa vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SAUNF WATER (saunapha vATara),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
SKIM MILK COFFEE AND STEVIA (skima milka kaॉphI aura sTeviyA),100ML,35.0,3,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEA WITHOUT SUGAR (cInI ke binA cAya),100ML,62.0,2.1,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TEJ PAPTA+SAUNF+CLOVE WATER (teja paTTA+saunapha+lauMga pAnI),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TULSI+GINGER+SAUNF (tulasI+adaraka+saunapha),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
TURMERIC WATER (haldI pAnI),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
WHEATGRASS WATER (gehUM kA pAnI),250ML,0.0,0,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
YUGURT (dahI),200ML,59.0,10,Veg,A1,"Teas, Coffee, and Milk-Based Beverages",Breakfast,A
AJWAIN KACHORI (ajvena kacorI),30g,154.0,2.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BAATI CHOKHA (bATI cokhA),100g,330.0,7.5,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN CHILLA (besena cIlA),30g,86.0,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BESAN ROTI (besana roTI),30g,86.0,5.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED CHHOLE (ubalA huA chola),100g,53.0,2.1,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED EGG WITH TOASTED BREAD (TosTeDa roTI ke sAtha ubalA huA aMDA),100g  ,199.0,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED MOONG (ubalA huA mUMga),100g,72.0,5.2,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED RAJMA (ubalA huA rAjamA),100g,127.0,8.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BOILED SOYABEAN  (ubalA huA soyAbIna),100g,85.0,6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD BUTTER  (breDa baTara),30g,126.0,3.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
BREAD OMLETTE (breDa ऑmaleTa),220g,355.0,18.74,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
DAL KACHORI (dala kacorI),30g,169.0,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
EGG WHITE OMLETE  (aMDAkAra),35g,35.0,4,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
HALF FRY EGG WITH TOASTED BREAD (TosTeDa breDa ke sAtha AdhA talanA aMDe),100g,199.0,8.8,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
JAU DALIYA PORRIDGE (jau DAlIyA daliyA),100g,115.0,2.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MASALA OATS (masAlA oTsa),30g,120.0,3.39,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MIX DAL CHIILA  (miksa dAla cIlA),30g,53.0,3,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
MOONG DAL CHILA (mUMga dAla cIlA),30g,88.0,6.7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
NAMKEEN VEG DALIYA (nAmakena veja DAlI),30g,102.0,3.25,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS DOSA (oTsa DosA),150g,71.0,2.21,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OATS PORRIDGE (jaI daliyA),100g,372.0,14,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
OMLETTE WITH TOASTED BREAD (TosTeDa roTI ke sAtha AmaleTa),100g,189.0,9,Non_Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
ONION DOSA (pyAja DosA),150g,191.0,4.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PALAK MOONG DAL CHEELA (pAlaka mUMga dAla celA),100g,144.0,7.8,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF DOSA (panIra sAmAna DosA),150g,174.0,7,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
PANEER STUFF ROTI (panIra sAmAna roTI),30g,5.58,5.58,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
POHA (pohA),30g,136.0,2.24,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI CHEELA (rAgI celA),30g,68.0,1.9,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAGI DOSA (rAgI DosA),150g,137.0,3.95,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
RAWA/BESAN CHILLA (rAva/besana cIlA),30g,93.0,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SPROUT CHAAT (aMkura),100g,293.7,22.53,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
SUJI PORRIDGE (sujI daliyA),100g,100.89,3.75,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
URAD DAL KACHORI (urada dala kacorI),30g,112.0,4,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
VEGETABLE IDLE (sabjI bekAra),50(2 PIECES),167.0,5.6,Veg,A2,Indian Breakfast and Snack Items,Breakfast,A
