Srno,RecipeName,TranslatedRecipeName,Ingredients,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,Instructions,TranslatedInstructions,URL
13221,Perum Payaru Theeyal Recipe (Kerala Style Black Eyed Bean Curry),Perum Payaru Theeyal Recipe (Kerala Style Black Eyed Bean Curry),"1.5 cups Red Black Eyed Beans (Azuki),1/2 cup Fresh coconut - grated,3 tablespoons Coriander (Dhania) Seeds,4 Dry Red Chillies,2 tablespoons Tamarind Paste,Coriander (Dhania) Leaves - few sprigs,1 tablespoon Sunflower Oil,Salt - to taste","1.5 cups Red Black Eyed Beans (Azuki),1/2 cup Fresh coconut - grated,3 tablespoons Coriander (Dhania) Seeds,4 Dry Red Chillies,2 tablespoons Tamarind Paste,Coriander (Dhania) Leaves - few sprigs,1 tablespoon Sunflower Oil,Salt - to taste",15,10,25,4,Kerala Recipes,Lunch,Vegetarian,"To begin the preparation of Perum Payaru Theeyal, dry roast the cow peas in a wok in medium heat till fragrant. This will take around 10 minutes.Now, cook the dry roasted red cow peas with 2 cups of water using a pressure cooker for 3 whistles and keep aside.Heat oil in small pan, add the dry chillies and coriander seeds and roast till fragrant.Add the grated coconut and roast until it turns light brown.Once the roasted mixture is cooled, grind it to a smooth paste with little water using a mixer grinder.Now bring the pressure cooker back on heat in which the red cow peas were cooked.Add the ground coconut paste, tamarind paste and mix well. Season with salt, simmer for 5 minutes and switch off the flame.Garnish with chopped coriander on top and serve the Perum Payaru Theeyal along with steamed rice and beetroot thoran for a weekday lunch.
","To begin the preparation of Perum Payaru Theeyal, dry roast the cow peas in a wok in medium heat till fragrant. This will take around 10 minutes.Now, cook the dry roasted red cow peas with 2 cups of water using a pressure cooker for 3 whistles and keep aside.Heat oil in small pan, add the dry chillies and coriander seeds and roast till fragrant.Add the grated coconut and roast until it turns light brown.Once the roasted mixture is cooled, grind it to a smooth paste with little water using a mixer grinder.Now bring the pressure cooker back on heat in which the red cow peas were cooked.Add the ground coconut paste, tamarind paste and mix well. Season with salt, simmer for 5 minutes and switch off the flame.Garnish with chopped coriander on top and serve the Perum Payaru Theeyal along with steamed rice and beetroot thoran for a weekday lunch.
",https://www.archanaskitchen.com/perum-payaru-theeyal-recipe-kerala-style-black-eyed-bean-curry
13242,Raw Mango Sambar Recipe - South Indian Mangai Sambar Recipe,Raw Mango Sambar Recipe - South Indian Mangai Sambar Recipe,"1 cup Arhar dal (Split Toor Dal),1 Mango (Raw) - chopped,1 Onion - chopped,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chilli,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sambar Powder,Salt - to taste,Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 Dry Red Chilli,1 pinch Asafoetida (hing),1 sprig Curry leaves,Sunflower Oil","1 cup Arhar dal (Split Toor Dal),1 Mango (Raw) - chopped,1 Onion - chopped,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chilli,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sambar Powder,Salt - to taste,Sunflower Oil,1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 Dry Red Chilli,1 pinch Asafoetida (hing),1 sprig Curry leaves,Sunflower Oil",10,30,40,4,Tamil Nadu,Lunch,High Protein Vegetarian,"To begin making the Raw Mango Sambar Recipe, we will firstly pressure cook the dal. Add the dal with required water and turmeric powder in the pressure cooker. Close the cooker with the lid and let it cook till it releases 5 whistles or till it is completely soft and cooked.Heat a saucepan with oil, add dry red chillies, mustard seeds, urad dal, cumin seeds and allow it to crackle.Add ginger, garlic and let it cook for about a minute. Once that is done, add onions and saute till they turn soft and translucent. This will take around 2 to 3 minutes.Add turmeric powder, raw mango, 1 cup of water and bring it to a boil. Boil until the mangoes become soft.Once that is done, add sambar powder, jaggery and cooked dal and give it a stir. Check for salt and keep stirring the raw mango sambar until it comes to a brisk boil.The next step is to prepare the tempering for raw mango sambar. Heat a small tadka pan, add dry red chillies, asafoetida, mustard seeds, curry leaves, urad dal, cumin seeds and let it cook for about 30 seconds.Once it is done, pour it over the Raw Mango Sambar, give it a mix and serve hot. Serve the Raw Mango Sambar Recipe along with Steamed Rice, Cabbage Poriyal and Elai Vadam for lunch or you can simple serve it with Homemade Soft Idlis and Coconut Chutney for your morning breakfast.
","To begin making the Raw Mango Sambar Recipe, we will firstly pressure cook the dal. Add the dal with required water and turmeric powder in the pressure cooker. Close the cooker with the lid and let it cook till it releases 5 whistles or till it is completely soft and cooked.Heat a saucepan with oil, add dry red chillies, mustard seeds, urad dal, cumin seeds and allow it to crackle.Add ginger, garlic and let it cook for about a minute. Once that is done, add onions and saute till they turn soft and translucent. This will take around 2 to 3 minutes.Add turmeric powder, raw mango, 1 cup of water and bring it to a boil. Boil until the mangoes become soft.Once that is done, add sambar powder, jaggery and cooked dal and give it a stir. Check for salt and keep stirring the raw mango sambar until it comes to a brisk boil.The next step is to prepare the tempering for raw mango sambar. Heat a small tadka pan, add dry red chillies, asafoetida, mustard seeds, curry leaves, urad dal, cumin seeds and let it cook for about 30 seconds.Once it is done, pour it over the Raw Mango Sambar, give it a mix and serve hot. Serve the Raw Mango Sambar Recipe along with Steamed Rice, Cabbage Poriyal and Elai Vadam for lunch or you can simple serve it with Homemade Soft Idlis and Coconut Chutney for your morning breakfast.",http://www.archanaskitchen.com/raw-mango-sambar-recipe
13243,Pumpkin Curry With Chicken Recipe,Pumpkin Curry With Chicken Recipe,"400 grams Chicken breasts - cut into small pieces,500 grams Kaddu (Parangikai/ Pumpkin),1 inch Ginger - roughly chopped,1 Onion - roughly chopped,3 cloves Garlic - chopped,2 Green Chilli - finely chopped,1 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,3/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1/2 cup Homemade tomato puree,Salt - as required,Coriander (Dhania) Leaves - A small bunch,Sunflower Oil","400 grams Chicken breasts - cut into small pieces,500 grams Kaddu (Parangikai/ Pumpkin),1 inch Ginger - roughly chopped,1 Onion - roughly chopped,3 cloves Garlic - chopped,2 Green Chilli - finely chopped,1 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,3/4 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,1/2 cup Homemade tomato puree,Salt - as required,Coriander (Dhania) Leaves - A small bunch,Sunflower Oil",10,60,70,4,Indian,Lunch,Non Vegeterian,"To begin making the Pumpkin Curry With Chicken, heat oil in a heavy bottomed pan.Add the garlic, onion, ginger, green chillies and chopped pumpkin. Sprinkle some salt and stir them for about a minute, cover the pan and simmer until the pumpkin has softened. This will take about 6-8 minutes on medium heat. Using a hand blender, blend the pumpkin into a puree while it is in the pan. Add the tomato puree, and  the spices like the cumin powder, red chilli powder, turmeric powder, coriander powder and garam masala . Give it a good mix and saute for about 2 minutes. After 2 minutes add the chicken pieces.along with a cup of water, cover the pan, turn the heat to low and cook until the chicken is cooked completely .Adjust the consistency of the curry by adding more water and also adjust the spices to suit your taste.Once done, turn off the heat. Stir in the chopped coriander leaves, Transfer the Pumpkin Curry With Chicken into a serving bowl and serve.Serve Pumpkin Curry With Chicken along with Pudina Tawa Paratha and Kachumber Salad.
","To begin making the Pumpkin Curry With Chicken, heat oil in a heavy bottomed pan.Add the garlic, onion, ginger, green chillies and chopped pumpkin. Sprinkle some salt and stir them for about a minute, cover the pan and simmer until the pumpkin has softened. This will take about 6-8 minutes on medium heat. Using a hand blender, blend the pumpkin into a puree while it is in the pan. Add the tomato puree, and  the spices like the cumin powder, red chilli powder, turmeric powder, coriander powder and garam masala . Give it a good mix and saute for about 2 minutes. After 2 minutes add the chicken pieces.along with a cup of water, cover the pan, turn the heat to low and cook until the chicken is cooked completely .Adjust the consistency of the curry by adding more water and also adjust the spices to suit your taste.Once done, turn off the heat. Stir in the chopped coriander leaves, Transfer the Pumpkin Curry With Chicken into a serving bowl and serve.Serve Pumpkin Curry With Chicken along with Pudina Tawa Paratha and Kachumber Salad.
",http://www.archanaskitchen.com/pumpkin-curry-with-chicken-recipe
13271,ऑडीया स्टाइल चौला खीरी रेसिपी - Oriya Style Rice Kheer (Recipe In Hindi), Oriya Style Rice Kheer (Recipe In Hindi),"1 कप चावल,2 बड़े चमच्च घी,1/4 कप शक्कर,2 बड़े चमच्च गुलाब का पानी,केसर - चुटकीभर,1/4 छोटा चमच्च इलाइची पाउडर,1/4 कप काजू - घी मे भूने हुए,2 बड़े चमच्च कंडेन्स दूध","1 कप चावल,2 बड़े चमच्च घी,1/4 कप शक्कर,2 बड़े चमच्च गुलाब का पानी,केसर - चुटकीभर,1/4 छोटा चमच्च इलाइची पाउडर,1/4 कप काजू - घी मे भूने हुए,2 बड़े चमच्च कंडेन्स दूध",15,30,45,4,Oriya Recipes,Dessert,Vegetarian,"ऑडीया स्टाइल चौला खीरी को बनाने के लिए सबसे पहले चावल को साफ पानी से धोकर रखे. प्रेशर कूकर मे घी ले। चीनी डाले और चीनी गोल्डन ब्राउन होने तक मध्यम आंच पर भूने। चावल डालकर 1 मिनट तक भूने। 2 कप पानी डालकर कूक कर ले। पके हुए चावल मे दूध मिलाकर 5 मिनट तक मध्य आंच पर पकाए। कन्डेंस मिल्क डालकर मिलाए। खीर को गाढा या पतला अपनी पसंद अनुसार रखे।गुलाब और, थोडे से गर्म दूध मे भिगोया हुआ केसर,  इलाइची पाउडर डालकर मिलाए। घी मे भूने हुए काजू से सजाकर गर्म या ठंडा परोसे।चौलाई खीरी को अपने खाने के बाद मीठे में परोसे। आप खाने के लिए आलू की सब्ज़ी और पूरी भी बना सकते है.
","To make Audia Style Chaula Kheri, first wash the rice with clean water. Take ghee in a pressure cooker. Add sugar and fry on medium heat until the sugar turns golden brown. Add rice and fry for 1 minute. Add 2 cups of water and cook. Mix milk in cooked rice and cook on a medium flame for 5 minutes. Add condensed milk and mix. Keep the kheer thick or thin as per your choice. Add the rose and saffron, soaked in hot milk to a small amount, add cardamom powder. Serve hot or cold garnished with grated roasted cashews. Serve the Chaulai Kheri in dessert after your meal. You can also make potato vegetable and poori to eat.",https://www.archanaskitchen.com/oriya-style-rice-kheer-recipe-in-hindi
13277,Pacha & Mocha Parappu Sundal Recipe - Green Sprouts & Flat Broad Bean Stir Fry,Pacha & Mocha Parappu Sundal Recipe - Green Sprouts & Flat Broad Bean Stir Fry,"1 cup Green Moong Sprouts,1 cup White broad beans,1 Onion - chopped,4 cloves Garlic - chopped,1 inch Ginger - chopped,1/2 cup Fresh coconut - grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Mustard seeds,3/4 teaspoon White Urad Dal (Split),1/2 teaspoon Asafoetida (hing),2 Green Chillies - finely chopped,2 Dry Red Chilli,5 Curry leaves - roughly torn,Salt - for taste,Sunflower Oil","1 cup Green Moong Sprouts,1 cup White broad beans,1 Onion - chopped,4 cloves Garlic - chopped,1 inch Ginger - chopped,1/2 cup Fresh coconut - grated,1 teaspoon Turmeric powder (Haldi),1 teaspoon Mustard seeds,3/4 teaspoon White Urad Dal (Split),1/2 teaspoon Asafoetida (hing),2 Green Chillies - finely chopped,2 Dry Red Chilli,5 Curry leaves - roughly torn,Salt - for taste,Sunflower Oil",10,30,40,4,Tamil Nadu,Snack,High Protein Vegetarian,"To begin making Pacha & Mocha Parappu Sundal Recipe, firstly soak the parappu for at least overnight in water and keep it ready.Pressure cook the Mocha Parappu or the flat broad beans in pressure cooker with water and salt for about 5 whistles till it becomes soft.Switch off the heat and release the pressure naturally and drain all the water and keep it aside.Heat the Kadai with oil and temper the mustard seeds, urad dal, curry leaves, dry red chilli, asafoetida.Once the mustard seeds crackle and the urad dal turns golden, add ginger, garlic and allow it to soften. Once that is done, add onions and saute till they turn soft and translucent.Add cooked beans along with sprouted green moong into the pan.Add a little bit of turmeric powder, salt and give it a toss so that it is mixed well. Finally, add grated coconut give one last mix and serve hot.Serve the Pacha & Mocha Parappu Sundal Recipe along with Jeera Milagu Rasam, Steamed Rice and Beetroot Pachadi to complete your meal.
","To begin making Pacha & Mocha Parappu Sundal Recipe, firstly soak the parappu for at least overnight in water and keep it ready.Pressure cook the Mocha Parappu or the flat broad beans in pressure cooker with water and salt for about 5 whistles till it becomes soft.Switch off the heat and release the pressure naturally and drain all the water and keep it aside.Heat the Kadai with oil and temper the mustard seeds, urad dal, curry leaves, dry red chilli, asafoetida.Once the mustard seeds crackle and the urad dal turns golden, add ginger, garlic and allow it to soften. Once that is done, add onions and saute till they turn soft and translucent.Add cooked beans along with sprouted green moong into the pan.Add a little bit of turmeric powder, salt and give it a toss so that it is mixed well. Finally, add grated coconut give one last mix and serve hot.Serve the Pacha & Mocha Parappu Sundal Recipe along with Jeera Milagu Rasam, Steamed Rice and Beetroot Pachadi to complete your meal.",http://www.archanaskitchen.com/pacha-parappu-mocha-parappu-sundal-recipe-green-sprouts-flat-broad-bean-stir-fry
13287,वेरुसेनेगा सांबर रेसिपी - Verusenaga Sambar Recipe, Verusenaga Sambar Recipe,"2 कप मूंगफली - रोस्ट कर कर छील ले,1-1/2 छोटा चम्मच जीरा,1 प्याज - काट ले,1 बड़ा चम्मच सांबर पाउडर,2 बड़े चम्मच इमली का पेस्ट,4 टहनी हरा धनिया - बारीक काट ले,1 टमाटर - काट ले,1 टहनी कढ़ी पत्ता,2 बड़े चम्मच तेल,2 सुखी लाल मिर्च,1 छोटा चम्मच राइ","2 कप मूंगफली - रोस्ट कर कर छील ले,1-1/2 छोटा चम्मच जीरा,1 प्याज - काट ले,1 बड़ा चम्मच सांबर पाउडर,2 बड़े चम्मच इमली का पेस्ट,4 टहनी हरा धनिया - बारीक काट ले,1 टमाटर - काट ले,1 टहनी कढ़ी पत्ता,2 बड़े चम्मच तेल,2 सुखी लाल मिर्च,1 छोटा चम्मच राइ",10,30,40,4,South Indian Recipes,Lunch,High Protein Vegetarian,"वेरुसेनेगा सांबर रेसिपी बनाने के लिए सबसे पहले मूंगफली को प्रेशर कुकर में पानी के साथ डाले। कुकर बंद करें और 2 सिटी आने तक पका ले. बचा हुआ पानी फेक दे और मूंगफली को अलग से रख दे. अब एक कढ़ाई में तेल गरम करें। तेल के गरम होने के बाद इसमें प्याज डाले और नरम होने तक पका ले. नरम होने के बाद एक बाउल में निकाल ले. अब उसी कढ़ाई में आधी उबली हुइ मूंगफली, जीरा, इमली का पेस्ट, तले हुए प्याज, हरा धनिया, सांबर पाउडर एक मिक्सर ग्राइंडर में डाले और पेस्ट बना ले. इस पेस्ट को बचे हुए मूंगफली के साथ कुकर में डाले। इसमें नमक, टमाटर, 1 कप पानी डाले और 3 से 4 मिनट तक पका ले. अब तड़के के लिए, तड़का पैन में थोड़ा तेल गरम करें। इसमें राइ डाले और तड़कने दे. तड़कने के बाद इसमें सुखी लाल मिर्च, कढ़ी पत्ता डाले और 10 सेकण्ड्स के लिए पका ले. इससे सांबर में डाले और मिला ले. वेरुसेनेगा सांबर रेसिपी को दिन के खाने के लिए चाउ चाउ थोरन, चावल और पापड़ के साथ परोसे।
","वेरुसेनेगा सांबर रेसिपी बनाने के लिए सबसे पहले मूंगफली को प्रेशर कुकर में पानी के साथ डाले। कुकर बंद करें और 2 सिटी आने तक पका ले. बचा हुआ पानी फेक दे और मूंगफली को अलग से रख दे. अब एक कढ़ाई में तेल गरम करें। तेल के गरम होने के बाद इसमें प्याज डाले और नरम होने तक पका ले. नरम होने के बाद एक बाउल में निकाल ले. अब उसी कढ़ाई में आधी उबली हुइ मूंगफली, जीरा, इमली का पेस्ट, तले हुए प्याज, हरा धनिया, सांबर पाउडर एक मिक्सर ग्राइंडर में डाले और पेस्ट बना ले. इस पेस्ट को बचे हुए मूंगफली के साथ कुकर में डाले। इसमें नमक, टमाटर, 1 कप पानी डाले और 3 से 4 मिनट तक पका ले. अब तड़के के लिए, तड़का पैन में थोड़ा तेल गरम करें। इसमें राइ डाले और तड़कने दे. तड़कने के बाद इसमें सुखी लाल मिर्च, कढ़ी पत्ता डाले और 10 सेकण्ड्स के लिए पका ले. इससे सांबर में डाले और मिला ले. वेरुसेनेगा सांबर रेसिपी को दिन के खाने के लिए चाउ चाउ थोरन, चावल और पापड़ के साथ परोसे।
",http://www.archanaskitchen.com/verusenaga-sambar-recipe-fresh-groundnuts-sambar-in-hindi
13289,Pasta Aglio Olio Recipe,Pasta Aglio Olio Recipe,"500 grams Spaghetti Pasta - whole wheat,8 cloves Garlic - minced or crushed,2 teaspoon Red Chilli flakes - or red chillies chopped,4 tablespoon Extra Virgin Olive Oil,Parsley leaves - Handful,Parmesan cheese - grated or pecorino cheese or Italian bread crumbs for garnish (as required),Salt - as required","500 grams Spaghetti Pasta - whole wheat,8 cloves Garlic - minced or crushed,2 teaspoon Red Chilli flakes - or red chillies chopped,4 tablespoon Extra Virgin Olive Oil,Parsley leaves - Handful,Parmesan cheese - grated or pecorino cheese or Italian bread crumbs for garnish (as required),Salt - as required",10,15,25,4,Italian Recipes,Dinner,Vegetarian,"To begin with Pasta Aglio Olio, cook the Spaghetti pasta according to instructions in salted boiling water in a saucepan. Drain and reserve 1-2 ladles of the water.In a flat pan, heat the olive oil. Add the garlic, chillies and some parsley. Saute for a minute and toss in the pasta.Mix and add little of the pasta water to moisten it. Stir and take off the heat.Garnish it with Parmesan, Pecorino or bread crumbs and serve immediately.Serve Pasta Aglio Olio with Pizza Margherita and a glass of wine for a weekend night dinner.
","To begin with Pasta Aglio Olio, cook the Spaghetti pasta according to instructions in salted boiling water in a saucepan. Drain and reserve 1-2 ladles of the water.In a flat pan, heat the olive oil. Add the garlic, chillies and some parsley. Saute for a minute and toss in the pasta.Mix and add little of the pasta water to moisten it. Stir and take off the heat.Garnish it with Parmesan, Pecorino or bread crumbs and serve immediately.Serve Pasta Aglio Olio with Pizza Margherita and a glass of wine for a weekend night dinner.
",http://www.archanaskitchen.com/pasta-aglio-olio-recipe
13329,Dry Palak Dal Sabzi Recipe,Dry Palak Dal Sabzi Recipe,"250 grams Spinach Leaves (Palak),1/2 cup Arhar dal (Split Toor Dal),1 Onion - finely chopped,4 Garlic - finely chopped,2 Fresh Red chillies - chopped,Salt - as required,1/2 teaspoon Red Chilli powder,Sunflower Oil - as required,1/4 teaspoon Cumin seeds (Jeera)","250 grams Spinach Leaves (Palak),1/2 cup Arhar dal (Split Toor Dal),1 Onion - finely chopped,4 Garlic - finely chopped,2 Fresh Red chillies - chopped,Salt - as required,1/2 teaspoon Red Chilli powder,Sunflower Oil - as required,1/4 teaspoon Cumin seeds (Jeera)",10,30,40,2,Andhra,Dinner,High Protein Vegetarian,"To begin making the Dry Palak Dal Sabzi, wash and finely chop the spinach and keep it aside.Cook toor dal with half cup of water and make sure water should be in 1:1 ratio and make sure that it is half cooked and not mushy.Heat a wok/kadhai and add oil, cumin seeds, red chillies and garlic cloves.Let the cumin seeds splutter and then add chopped onion and stir for a while.Add spinach, turmeric powder and stir well. Add salt and stir again for 5 to 6 minutes.When spinach gets cooked, add toor dal and stir well for 5 minutes.After 5 minutes, add red chilli powder and stir well. When dal gets cooked, add garam masala and stir for few minutes and switch off the flame.Serve Dry Palak Dal Sabzi with Steamed Rice, Phulka or Whole Wheat Lachha Paratha.
","To begin making the Dry Palak Dal Sabzi, wash and finely chop the spinach and keep it aside.Cook toor dal with half cup of water and make sure water should be in 1:1 ratio and make sure that it is half cooked and not mushy.Heat a wok/kadhai and add oil, cumin seeds, red chillies and garlic cloves.Let the cumin seeds splutter and then add chopped onion and stir for a while.Add spinach, turmeric powder and stir well. Add salt and stir again for 5 to 6 minutes.When spinach gets cooked, add toor dal and stir well for 5 minutes.After 5 minutes, add red chilli powder and stir well. When dal gets cooked, add garam masala and stir for few minutes and switch off the flame.Serve Dry Palak Dal Sabzi with Steamed Rice, Phulka or Whole Wheat Lachha Paratha.",http://www.archanaskitchen.com/dry-palak-dal-sabzi-recipe
13339,Rajasthani Hari Mirch Ka Maas Recipe,Rajasthani Hari Mirch Ka Maas Recipe,"400 grams Mutton - on the bone,3 Green Chillies,1 tablespoon Lemon juice,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Ghee,1 tablespoon Ginger - finely chopped,1 tablespoon Garlic - finely chopped,2 Onions - thinly sliced,1/2 cup Curd (Dahi / Yogurt),2 sprig Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - large sized,1/2 teaspoon Red Chilli powder","400 grams Mutton - on the bone,3 Green Chillies,1 tablespoon Lemon juice,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Ghee,1 tablespoon Ginger - finely chopped,1 tablespoon Garlic - finely chopped,2 Onions - thinly sliced,1/2 cup Curd (Dahi / Yogurt),2 sprig Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - large sized,1/2 teaspoon Red Chilli powder",30,25,55,4,North Indian Recipes,Main Course,Non Vegeterian,"To begin making the Rajasthani Hari Mirch Ka Maas Recipe, we need to roast the fresh green chillies. Dry roast the green chillies on medium flame for about a minute until it wilts a little and turn off the flame. Transfer the green chillies into a mixer jar and grind into a paste with very little water. Transfer to a large mixing bowl. Into the mixing bowl, add in salt, turmeric powder, lemon juice and the mutton pieces. Mix well and allow the mutton to marinate for about an hour. Getting ahead to make the Rajasthani Hari Mirch Ka Maas RecipeHeat a pressure cooker with ghee on medium flame, into the hot ghee add in the onions, ginger- garlic and saute until the onion turns into a light brown colour. Once the ginger, garlic and onions have cooked well, add in the mutton along with the marinade. Mix well and continue to cook until the mutton has cooked half way through - about 5 minutes.At this stage, add in the yogurt, red chilli powder and the green chillies. Adjust the salt to your taste, add about half a cup of water and give it a good mix. Close the pressure cooker and pressure cook for 3-4 whistles. Turn off the flame and allow the pressure to release naturally. Once the pressure has released, open the cooker and mix in the coriander leaves.  Transfer the Rajasthani Hari Mirch Ka Maas to a serving bowl and serve hot.Serve Rajasthani Hari Mirch Ka Maas Recipe along with Dhaba Style Spicy Ghee Rice Recipe Made From Whole Spices, Pickled Onions Recipe, for a soulful comforting meal.
","To begin making the Rajasthani Hari Mirch Ka Maas Recipe, we need to roast the fresh green chillies. Dry roast the green chillies on medium flame for about a minute until it wilts a little and turn off the flame. Transfer the green chillies into a mixer jar and grind into a paste with very little water. Transfer to a large mixing bowl. Into the mixing bowl, add in salt, turmeric powder, lemon juice and the mutton pieces. Mix well and allow the mutton to marinate for about an hour. Getting ahead to make the Rajasthani Hari Mirch Ka Maas RecipeHeat a pressure cooker with ghee on medium flame, into the hot ghee add in the onions, ginger- garlic and saute until the onion turns into a light brown colour. Once the ginger, garlic and onions have cooked well, add in the mutton along with the marinade. Mix well and continue to cook until the mutton has cooked half way through - about 5 minutes.At this stage, add in the yogurt, red chilli powder and the green chillies. Adjust the salt to your taste, add about half a cup of water and give it a good mix. Close the pressure cooker and pressure cook for 3-4 whistles. Turn off the flame and allow the pressure to release naturally. Once the pressure has released, open the cooker and mix in the coriander leaves.  Transfer the Rajasthani Hari Mirch Ka Maas to a serving bowl and serve hot.Serve Rajasthani Hari Mirch Ka Maas Recipe along with Dhaba Style Spicy Ghee Rice Recipe Made From Whole Spices, Pickled Onions Recipe, for a soulful comforting meal.
",https://www.archanaskitchen.com/rajasthani-hari-mirch-ka-maas-recipe
13345,Triple Bean Vegetarian Cutlet or Patty Recipe,Triple Bean Vegetarian Cutlet or Patty Recipe,"1 cup Mixed Beans - (kabuli channa/white chickpeas,1/2 cup Mixed vegetables - (carrots,1 Potato (Aloo) - boiled,1/4 cup Whole Wheat Bread crumbs,1 Onion - finely chopped,2 Green Chillies - finely chopped,2 cloves Garlic - grated,1 inch Ginger - grated,1 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,2 tablespoons Coriander (Dhania) Leaves - chopped,2 tablespoons Mint Leaves (Pudina) - chopped,Salt and Pepper - to taste,4-5 tablespoons Sunflower Oil - for shallow frying","1 cup Mixed Beans - (kabuli channa/white chickpeas,1/2 cup Mixed vegetables - (carrots,1 Potato (Aloo) - boiled,1/4 cup Whole Wheat Bread crumbs,1 Onion - finely chopped,2 Green Chillies - finely chopped,2 cloves Garlic - grated,1 inch Ginger - grated,1 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,2 tablespoons Coriander (Dhania) Leaves - chopped,2 tablespoons Mint Leaves (Pudina) - chopped,Salt and Pepper - to taste,4-5 tablespoons Sunflower Oil - for shallow frying",20,60,80,6,Continental,Appetizer,Vegetarian,"To begin making the Triple Bean Cutlet, we have to first prep all the components.Steam the finely chopped carrots and beans, along with the fresh corn. You can either do this in a pressure cooker or a steamer. Put the steamed vegetables in a bowl and set aside to cool.Boil the potato, peel it and set it aside to cool.Pressure cook the soaked beans until completely soft. When the pressure releases from the cooker, pour the beans into a colander, and set aside for the water to drain completely. This is important, to ensure that there is no moisture left in the beans as this will cause them to disintegrate when shaping the cutlets.In a big mixing bowl, add the vegetables, potato and beans. Use a potato masher to mix it all up together into a thick mixture.Add the ginger, garlic , chopped onions, green chillies, coriander leaves, mint leaves and mix well using your fingers.Next, season with garam masala, red chilli powder, salt and pepper. Sprinkle the bread crumbs all over and combine once again. The mixture should hold together like a dough now. Check the salt and spices and adjust to suit your taste.Gently shape the cutlets to the desired size. Line them up on a tray or plate. Set the cutlets in the fridge to cool for at least an hour. This helps them to hold shape better.When you are ready to fry the cutlets, warm a little bit of oil in a shallow frying pan, or cast iron skillet. Pan-fry the cutlets in batches till they are crisp on either side.Serve the Triple Bean Vegetarian Cutlet or Patty as bite-sized appetizers along with a Black Bean Burger.
","To begin making the Triple Bean Cutlet, we have to first prep all the components.Steam the finely chopped carrots and beans, along with the fresh corn. You can either do this in a pressure cooker or a steamer. Put the steamed vegetables in a bowl and set aside to cool.Boil the potato, peel it and set it aside to cool.Pressure cook the soaked beans until completely soft. When the pressure releases from the cooker, pour the beans into a colander, and set aside for the water to drain completely. This is important, to ensure that there is no moisture left in the beans as this will cause them to disintegrate when shaping the cutlets.In a big mixing bowl, add the vegetables, potato and beans. Use a potato masher to mix it all up together into a thick mixture.Add the ginger, garlic , chopped onions, green chillies, coriander leaves, mint leaves and mix well using your fingers.Next, season with garam masala, red chilli powder, salt and pepper. Sprinkle the bread crumbs all over and combine once again. The mixture should hold together like a dough now. Check the salt and spices and adjust to suit your taste.Gently shape the cutlets to the desired size. Line them up on a tray or plate. Set the cutlets in the fridge to cool for at least an hour. This helps them to hold shape better.When you are ready to fry the cutlets, warm a little bit of oil in a shallow frying pan, or cast iron skillet. Pan-fry the cutlets in batches till they are crisp on either side.Serve the Triple Bean Vegetarian Cutlet or Patty as bite-sized appetizers along with a Black Bean Burger.",http://www.archanaskitchen.com/triple-bean-vegetarian-cutlets-or-patty-recipe
